,Tracking Number,Description/Basis for Appeal
232,EPA-R1-2014-003454,"(1) Please email the following records if possible: 

Tetra Tech Inc. (Tetra Tech) is conducting a Phase I Environmental Site Assessment (ESA) for a property located at 16 Woodruff Hill Road, Oxford, New Haven County, Connecticut (Map 24, Block 21, Lot 8-1). This investigation is being conducted in order to identify evidence of any recognized environmental conditions (REC) that may have an adverse environmental impact upon the subject property. Tetra Tech is requesting any records including, but not limited to, spills of hazardous chemicals, reports of chemical odors or fumes, or other information you may have concerning the property of interest. 
Any assistance from your office would be greatly appreciated. 
(2) If all the requested records cannot be emailed to me, please inform me by email of the portions that can be emailed and advise me of the cost for reproducing the remainder of the records requested ($0.25 per page or actual cost of reproduction). 
(3) If the requested records cannot be emailed to me due to the volume of records identified in response to my request, please advise me of the actual cost of copying all records onto a CD or floppy disk. 
(4) If my request is too broad or does not reasonably describe the records, please contact me via email so that I may clarify my request, and when appropriate inform me of the manner in which records are filed, retrieved or generated. 
If it is necessary to modify my request, and an email response is not preferred, please contact me at the following telephone number: 973-630-8012. 
If for any reason any portion of my request is denied, please inform me of the reasons for the denial in writing and provide the name, address and email address of the person or body to whom an appeal should be directed. 
Thank you in advance for spending time on this matter. 
Sincerely, 

Loren Casale 
Tetra Tech, Inc. 
1000 The American Road 
Morris Plains, NJ 07950 
Email: loren.casale@tetratech.com"
233,EPA-R2-2014-010560,"Seeking environemental remediation information on the former Central Islip State Hospital in Central Islip, NY (operated 1887 - approx. 1990).  Specifically interested in the 16-acre portion currently occupied by InvaGen Pharmaceuticals, Inc. and Ascent Pharmaceuticals (550 S Research Pl., Central Islip, NY). NYR000054338.  At least a portion of the former hospital site is a Brownfield (Former Central Islip Psychiatric Center, Carleton Ave., Islip, NY)."
234,EPA-HQ-2013-009625,Requesting a copy of the DERs for MRIDs  46188601 thru 46188616.
235,EPA-R2-2015-001674,"Would like to receive a copy of the Final Remedial Design Report for OU3 at the Horseshoe Road Superfund Site in Sayreville, NJ.  John Osolin at USEPA Region 2 is the RPM for the project."
236,MSPB-PHRO-2013-000060,The description of this request is under Agency review.
237,EPA-R9-2013-008701,"A copy of all grants, awards, work plans and formally signed agreements between the EPA and the Twenty-Nine Palms Band of Mission Indians from the years 1997-1999. We are especially interested in documents related to the creation of the 29 Palms Tribal Environmental Protection Agency, and those regarding the Tribe's treatment as a State by the EPA."
238,EPA-R6-2013-002185,"December 14, 2012

National Freedom of Information Officer
U.S. Environmental Protection Agency
1200 Pennsylvania Avenue, NW (2822T)
Washington, DC 20460
(202) 566-1667      FAX (202) 566-2147
E-mail: hq.foia@epa.gov

Dear FOIA Officer:

Pursuant to the Freedom of Information Act (FOIA), I would like to request the following document:

Record Requested

1.	Unredacted version of the EPA Region VI Risk Management Plan Inspection Report for Exxon Mobil Baton Rouge Refinery conducted on July16-20, 2012.  (R6Air LA FRS#100000091768 CAA 112®(1), 112®(7), ans 49CFR68 7.16-20.12 ExxonMobil Baton Rouge Refinery)


Claims of Exemption from Disclosure

If you regard any documents as exempt from required disclosure under the Act, please exercise your discretion to disclose them nevertheless.  In the alternative, for records containing both exempt and non-exempt information, please provide all non-exempt portions of records and communications, as required by FOIA.

Should you elect to invoke an exemption to FOIA, please provide the required full or partial denial letter and sufficient information regarding the basis for the withholding so that we will be able to determine whether or not there may be grounds to appeal the agency?s decision.  In accordance with the minimum requirements and regulations of your due process, this information should include:

1.	Basic factual material, including the originator, date, length, and addresses of the withheld items.  
2.	Explanations and justifications for denial, including the identification of the exemption applicable to the withheld information or portions of the information found to be subject to exemption, and how each exemption applies to the withheld material.

Request for Fee Waiver

This request meets the case-by-case requirements for a fee waiver under both FOIA and EPA regulations.  Specifically, the Louisiana Bucket Brigade is a non-profit, tax exempt environ organization engaged in educating th"
239,EPA-R5-2014-007135,"We would like to request any information your office has regarding any environmental documents, underground storage tanks (USTs) or hazardous materials for the property listed below. If any records are located, we would like to obtain copies or schedule a file review. If no records are available, please contact me to confirm. Thank you for your assistance. 

4848 S. 76th Street, Greenfield (Milwaukee), WI 53220"
240,EPA-R5-2013-010443,"Please forward information pertaining to the list of Potentially Responsible Parties (a copy of the consent decree would be fine) and costs spent to date for the following sites:

EPA ID MND022949192
EPA ID OHD980613566
EPA ID OHD000816843
EPA ID OHD981960545
EPA ID MID981192321
EPA ID MID981192321
EPA ID MID067340711
EPA ID MID980506562
EPA ID MID095402210
EPA ID MID099124299
EPA ID MID044567162
EPA ID MID980793806
EPA ID MID980506463
EPA ID MND000685867

Thank you!"
241,EPA-R9-2014-002769,"Initial EPA report on Anderson Air Force Base, Guam making it a superfund site."
242,EPA-R2-2013-002256,"THIS IS A FREEDOM OF INFORMATION ACT REQUEST

VIA ONLINE SUBMISSION

Regional Freedom of Information Officer 
U.S. EPA, Region 2
290 Broadway, 26th Floor
New York, NY 10007-1866

Re:	Information Request - Vessel General Permit Enforcement

To Whom It May Concern:

Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, I am writing to request copies of the following:

Information and correspondence in the possession, custody or control of the United States Environmental Protection Agency (?USEPA?) relating to or regarding any and all enforcement actions taken pursuant to the Vessel General Permit for Discharges Incidental to the Normal Operation of Vessels (VGP) including but not limited to complaint reports, inspection reports, notices of violation, letters of warning and responses to the same, administrative compliance orders, consent agreement and final orders, and attorney general referrals.

Should the Administration determine that any document contains information that is not subject to disclosure or is otherwise to be withheld, please produce the document with the withheld information redacted, only.  In the event that any document is withheld in its entirety, please provide a list identifying the withheld document and the justification for the same.

Please advise me regarding the anticipated costs associated with this request prior to proceeding.  Should you have any questions regarding this request, please do not hesitate to contact me at (314)588-7000.

Kind Regards,

/s/ Ryan E. Mohr

REM/jaw"
